"model";"sd.S";"mp.S";"sd.t";"mp.t";"sd.xi";"mp.xi";"sd.Q100";"mp.Q100";"sd.Q1000";"mp.Q1000"
"D*";334;9386;17;1526;0,04;0,063;585;11118;1110;13421
"GEV_1816-2020";NA;NA;NA;NA;0,044;0,058;687;11451;1351;13919
