"model";"sd.S";"mp.S";"sd.t";"mp.t";"sd.xi";"mp.xi";"sd.Q100";"mp.Q100";"sd.Q1000";"mp.Q1000"
"A";0;9000;0;1500;0,038;0,073;391;10977;816;13149
"B";504;9628;0;1500;0,044;0,06;698;11438;1391;13875
"C";0;9000;44;1527;0,038;0,074;395;10975;809;13139
"D";551;9613;62;1529;0,044;0,061;745;11336;1467;13721
"Baseline";NA;NA;NA;NA;0,044;0,058;687;11451;1351;13919
